name,perimeter,area,complexity,income,income_state,lean,margin_rep,margin_pres,districts,nw,nb,nn,na,nh,no,n2,n2o,n3,hw,hb,hn,ha,hh,ho,h2,h2o,h3,nw_1,nb_1,nn_1,na_1,nh_1,no_1,n2_1,n2o_1,n3_1,hw_1,hb_1,hn_1,ha_1,hh_1,ho_1,h2_1,h2o_1,h3_1
New York District 1,372,5043,5.2383976,88242,60741,5,17.8999996,12.1999998,27,547667,34028,1317,28628,69,1414,8803,954,7849,82031,2180,617,358,121,9792,5013,2232,2781,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 7,76,44,11.4574308,49581,60741,-38,-81.5,-76.0999985,27,220570,58776,870,138220,165,4243,12593,1592,11001,145680,24978,2519,1149,117,123693,14721,7936,6785,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 27,730,13513,6.2798166,61359,60741,11,34.4000015,24.2999992,27,661020,17188,4699,7621,295,562,9154,260,8894,11037,1001,288,74,17,4646,1589,609,980,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 17,174,1141,5.1511765,91734,60741,-7,-99.0999985,-19.8999996,27,446732,73157,934,42581,105,2424,12054,1293,10761,68529,5869,2216,375,13,75429,8049,4584,3465,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 14,79,113,7.431695,52427,60741,-29,-65.6999969,-57.5999985,27,164575,68127,1025,120452,206,3410,9769,1601,8168,167286,11383,2521,1524,100,158823,13108,7166,5942,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 6,53,78,6.0010681,60158,60741,-16,-45.4000015,-32.7999992,27,258375,25384,1111,286344,212,4018,14666,1824,12842,77609,3403,830,1294,63,50179,7046,3803,3243,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 5,125,319,6.9986563,62979,60741,-37,-72.4000015,-72.8000031,27,84673,368550,2609,104550,381,39695,23456,9555,13901,57699,14983,971,758,52,68017,8358,5816,2542,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 24,522,9458,5.367485,53930,60741,-3,21.1000004,-3.5999999,27,587716,56627,2928,18692,202,1176,16891,527,16364,16994,2632,333,98,7,6095,3526,1713,1813,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 16,96,279,5.7473698,66153,60741,-24,-94.4000015,-52.2000008,27,275174,227492,1305,37103,268,4552,11847,1523,10324,77295,14066,1171,187,63,75909,12355,7244,5111,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 11,90,297,5.2223296,66890,60741,3,24.7999992,9.8000002,27,449064,49688,958,95862,411,2132,11165,1025,10140,75560,5329,990,775,54,31939,5232,2606,2626,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 15,32,44,4.8241816,26096,60741,-44,-91.6999969,-88.5999985,27,18210,210318,1802,13467,255,3945,5599,728,4871,88845,31855,2509,660,119,350934,19364,10679,8685,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 23,907,20695,6.3048472,47916,60741,6,15.1999998,14.6999998,27,630146,19132,3817,16704,124,664,13161,384,12777,16852,1519,280,139,28,5130,2240,1061,1179,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 8,88,122,7.9671454,47048,60741,-36,-93.1999969,-70.8000031,27,172720,391506,1194,40050,151,3644,11915,1342,10573,48832,22558,1122,316,184,51510,7360,4019,3341,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 12,43,46,6.340004,93559,60741,-31,-66.3000031,-69.0999985,27,475023,31639,1239,97787,439,2633,18046,1761,16285,59969,4427,516,611,33,28345,5270,2149,3121,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 18,385,3667,6.3577766,79539,60741,1,-11.1999998,2.0999999,27,502155,62608,1414,22112,147,2476,14628,596,14032,57175,5545,1751,452,87,42132,8502,5016,3486,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 2,154,845,5.297761,90614,60741,3,24.8999996,8.8999996,27,456196,67636,845,21802,159,1956,9464,1042,8422,91423,4660,731,231,79,52984,12784,5987,6797,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 20,345,3271,6.0322428,62112,60741,-7,-35.7999992,-13.3000002,27,560243,62160,832,34367,220,4462,19318,1681,17637,23829,4493,262,232,34,9964,4920,1863,3057,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 25,272,3153,4.8440309,53060,60741,-8,-12.3000002,-16.2000008,27,509495,107817,1475,26333,154,1777,15090,875,14215,34748,6081,1513,294,35,12493,4907,2163,2744,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 3,160,962,5.158607,104805,60741,-1,-5.5999999,-6.0999999,27,503892,21081,732,105604,126,4000,10694,1320,9374,47208,1349,401,238,12,25437,3789,2191,1598,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 21,1081,42487,5.2444224,51976,60741,4,35.2000008,13.6999998,27,646801,20844,5762,6498,500,786,10898,316,10582,12481,1386,388,70,33,5934,3009,1578,1431,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 10,90,60,11.6189499,81814,60741,-26,-56.0999985,-58.9000015,27,464258,25110,1179,132881,54,2723,13542,737,12805,47619,4252,1442,995,22,32559,4437,1872,2565,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 4,111,455,5.2037601,96078,60741,-4,-19.1000004,-9.6000004,27,416813,101210,917,46009,142,2490,10197,1838,8359,61595,3784,1111,332,10,56979,20427,9560,10867,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 13,38,34,6.5169463,37263,60741,-43,-81.6999969,-86.4000015,27,104534,191768,933,35087,311,4044,13149,1211,11938,100816,38469,3915,727,218,241253,32866,13652,19214,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 26,143,603,5.82341,45640,60741,-11,-49.2000008,-19.6000004,27,498133,127088,2559,27693,187,1199,14621,584,14037,16882,3106,278,174,51,17804,5017,3261,1756,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 22,894,13537,7.6838045,50059,60741,6,5.5,15.3000002,27,623131,25919,1385,18582,231,853,13191,486,12705,13662,2902,190,111,131,5870,2204,934,1270,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 9,41,41,6.4031243,50825,60741,-34,-92.3000031,-68.5999985,27,231223,356560,1068,50204,238,3225,13902,1324,12578,23461,18154,562,482,11,38668,4373,2174,2199,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
New York District 19,1006,20987,6.9442091,58698,60741,2,8.5,6.6999998,27,602775,28470,623,11195,67,1054,13182,365,12817,30982,3031,792,132,15,9756,4979,1586,3393,11111314,2829883,45532,1586428,5819,105557,350995,36744,314251,1556099,243395,30219,12788,1709,1592274,225445,113454,111991
